HB.A1	HB.A3	HB.B1	HB.B3	HB.C1	HB.C3	HB.D1	HB.D3	HB.E1	HB.E3	HB.F1	HB.F3
ENSG00000223972	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000227232	206	147	149	161	160	184	154	200	222	201	167	188
ENSG00000243485	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009	4	5	10	0	4	2	5	5	7	5	8	4
ENSG00000239945	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233750	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237683	4	6	21	9	7	11	34	37	35	38	44	32
ENSG00000268903	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269981	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239906	0	0	0	0	0	0	0	1	0	0	1	2
ENSG00000241860	9	15	17	20	24	26	29	32	27	38	43	43
ENSG00000222623	0	0	0	0	0	0	1	0	0	2	0	0
ENSG00000241599	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228463	26	17	23	21	20	19	24	30	36	34	38	26
ENSG00000241670	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237094	0	2	0	2	2	2	0	0	0	0	5	0
ENSG00000250575	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233653	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224813	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235249	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269732	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000256186	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236601	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236743	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000236679	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231709	0	0	0	0	0	0	0	1	1	0	0	2
ENSG00000235146	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239664	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230021	2	0	0	1	1	3	3	1	1	3	2	2
ENSG00000223659	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225972	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000225630	10	11	18	13	7	9	3	8	8	5	15	13
ENSG00000237973	31	13	13	23	11	21	13	8	16	19	11	17
ENSG00000229344	1	0	1	0	0	1	0	0	1	0	1	0
ENSG00000240409	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248527	57	69	22	51	21	52	24	26	20	33	26	53
ENSG00000198744	0	2	0	1	0	0	0	0	0	0	0	0
ENSG00000268663	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000185097	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229376	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224956	7	6	8	3	11	7	5	7	3	6	4	5
ENSG00000235373	12	4	13	10	7	11	5	12	1	12	7	6
ENSG00000223181	1	0	0	0	0	0	2	2	2	6	0	2
ENSG00000240618	1	0	1	0	1	1	3	1	0	2	3	2
ENSG00000229905	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228327	19	20	24	22	13	29	19	21	22	24	17	24
ENSG00000237491	42	36	29	26	32	38	8	16	9	18	17	18
ENSG00000230092	58	32	49	45	50	45	6	7	3	12	7	3
ENSG00000269831	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240453	9	4	2	6	7	11	2	0	1	1	0	0
ENSG00000177757	3	0	1	0	0	1	0	1	0	0	0	1
ENSG00000225880	31	16	11	15	16	25	10	22	14	24	26	15
ENSG00000228794	449	305	351	281	437	365	214	270	248	243	320	281
ENSG00000230368	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000234711	0	0	0	0	1	1	0	0	0	0	0	0
ENSG00000269308	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272438	0	2	0	4	1	7	0	9	3	2	7	7
ENSG00000230699	2	6	7	9	2	8	9	15	8	5	7	6
ENSG00000241180	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223764	2	2	3	1	0	3	9	12	6	12	21	7
ENSG00000187634	9	10	3	5	7	3	19	52	33	35	26	27
ENSG00000268179	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188976	17148	12625	12449	12882	14559	15760	5905	9355	8275	9561	8284	9787
ENSG00000187961	630	467	467	431	448	548	280	357	360	372	361	383
ENSG00000187583	177	86	161	101	114	104	52	52	87	67	72	58
ENSG00000187642	1	2	0	3	3	1	0	1	2	2	4	4
ENSG00000272512	11	10	17	14	9	4	4	2	12	6	4	5
ENSG00000188290	845	879	917	693	601	731	178	261	217	156	177	235
ENSG00000231702	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224969	3	2	6	4	8	2	2	0	1	1	2	0
ENSG00000187608	2798	1974	1971	1920	2295	2439	3074	6122	4946	6024	4265	5674
ENSG00000188157	18362	15812	18546	15002	15435	17694	16922	22448	25814	20280	23797	21642
ENSG00000242590	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000217801	159	102	104	80	131	118	71	93	93	80	85	67
ENSG00000273443	17	2	10	9	15	9	0	3	4	4	0	5
ENSG00000237330	548	506	437	432	465	493	194	295	279	215	238	285
ENSG00000131591	1579	1164	1228	1263	1296	1623	534	897	795	869	754	828
ENSG00000223823	5	5	8	4	6	5	0	1	2	0	1	0
ENSG00000207730	14	23	12	12	7	8	10	9	16	11	8	17
ENSG00000207607	11	7	5	16	8	9	3	8	9	14	7	10
ENSG00000198976	34	23	15	18	21	22	6	11	16	22	14	20
ENSG00000272141	166	158	110	133	55	138	60	107	135	110	110	117
ENSG00000205231	2	0	0	0	0	0	0	0	0	0	0	2
ENSG00000162571	26	25	28	27	27	31	10	17	16	14	15	7
ENSG00000186891	53	36	37	25	31	44	0	2	1	2	0	3
ENSG00000186827	6	3	2	0	1	7	3	1	2	4	1	4
ENSG00000078808	11034	8599	7563	8549	9095	10429	5152	8569	6920	7628	6931	7960
ENSG00000176022	3470	2778	2500	2677	2789	3522	1469	2278	1992	1879	1995	2105
ENSG00000184163	48	28	37	22	54	28	7	7	17	7	9	11
ENSG00000260179	4	2	7	7	1	5	0	6	1	1	5	2
ENSG00000160087	4230	2873	2916	3123	3317	3912	1809	2513	2383	2487	2597	2528
ENSG00000230415	4	6	4	5	3	5	6	3	10	2	5	7
ENSG00000162572	50	46	46	32	50	53	37	58	61	32	60	49
ENSG00000131584	3027	2302	2407	2272	2395	2769	1450	2088	2119	1889	1822	2037
ENSG00000169972	3223	2388	2541	2341	2704	2877	1251	2224	1801	1776	1730	1848
ENSG00000127054	6074	4456	4537	4487	4897	5516	1823	2586	2669	2516	2814	2614
ENSG00000240731	21	15	14	18	15	23	9	11	12	4	8	13
ENSG00000224051	3233	2485	2439	2480	2763	3179	1183	1931	1702	1873	1619	1865
ENSG00000169962	37	31	31	33	28	33	12	4	18	11	3	9
ENSG00000107404	9093	6847	6644	6681	7707	8388	3753	5248	5514	4856	5227	4898
ENSG00000162576	8	3	5	5	6	15	1	3	6	5	0	5
ENSG00000175756	12712	8450	8908	8459	10811	10465	3626	5131	5040	4543	4798	4643
ENSG00000223663	0	0	0	0	0	1	1	0	1	0	0	0
ENSG00000221978	4146	2672	2788	2763	2812	3424	1559	2094	2367	2195	2303	2179
