Sample	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
GM12878_R1_1	93555584	28666140	93555584	9449113984	146347194	9262914510	1.9705495596231342
GM12878_R1_2	93555584	30516092	93555584	9449113984	247487419	9157670096	3.084351490451869
GM12878_R2_1	97548052	28796974	97548052	9852353252	176076813	9636205578	2.1938684948808818
GM12878_R2_2	97548052	30622375	97548052	9852353252	287989645	9520194936	3.371360196941505
H1_R1_1	125395196	39901188	125395196	9530034896	471456597	8960675061	5.974373034446861
H1_R1_2	125395196	36721056	125395196	9530034896	630182071	8829001867	7.3560384264095555
H1_R2_1	107101340	32278029	107101340	8139701840	335537418	7727770620	5.06076546902116
H1_R2_2	107101340	29120589	107101340	8139701840	469066306	7619141422	6.395325384547501
K562_R1_1	92172367	27656171	92172367	9309409067	206280671	9064918773	2.626270821707356
K562_R1_2	92172367	29505069	92172367	9309409067	344248740	8922704837	4.153907377115798
K562_R2_1	113327735	34042623	113327735	11446101235	246144520	11152955392	2.561097765793088
K562_R2_2	113327735	37258596	113327735	11446101235	430206487	10961966436	4.229691744465861
MCF7_R1_1	128178110	39697094	128178110	9741536360	996078410	8685513392	10.840414991788832
MCF7_R1_2	128178110	43139725	128178110	9741536360	742542237	8934845724	8.280938511017373
MCF7_R2_1	131814222	39918976	131814222	10017880872	564308868	9392240224	6.245239447283377
MCF7_R2_2	131814222	43264269	131814222	10017880872	637291271	9317133540	6.994965711347101
