Sample	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Biotype Counts_mqc-generalstats-biotype_counts-percent_rRNA	DupRadar_mqc-generalstats-dupradar-dupRadar_intercept	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	Rsem_mqc-generalstats-rsem-alignable_percent	RSeQC_mqc-generalstats-rseqc-proper_pairs_percent	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed
GM12878_R1	201605456	189114475	0.0007083587518316589	0.819159952421778	0.763548	1.11	86778882.0	91.51268323724531	19.35986891148422	74.72941466468632	69606448	0.002599194	15316166.0	173798309.0	93.29484749230619	93.16572305364414	0.18085580765271048	186289290.0	81.78449761401623	51.0	97.55237061668977	10.0	93144645.0						
GM12878_R1_1																			82.40902594121793	50.0	98.37589935524474	20.0	93144645.0	83.10696291729433	50.0	101.0	10.0	93555584.0	1.9705495596231342
GM12878_R1_2																								82.72227943678926	51.0	101.0	10.0	93555584.0	3.084351490451869
GM12878_R2	209431440	192138157	0.0007516034155992141	0.786425730544841	0.767723	1.08	88272409.0	88.56332441577192	18.62982081391409	71.14505823191496	69061339	0.002986417	15289104.0	176849053.0	91.09247196860761	90.93576477827072	0.1724564599861413	194142336.0	81.9831185236601	52.0	97.2974034267312	10.0	97071168.0						
GM12878_R2_1																			82.40423624586754	52.0	98.15951465629836	20.0	97071168.0	83.19455762343337	52.0	101.0	10.0	97548052.0	2.1938684948808818
GM12878_R2_2																								82.9150393860584	53.0	101.0	10.0	97548052.0	3.371360196941505
H1_R1	271528052	263067557	0.00034288227556990584	0.165351149873428	0.509328	1.35	117213720.0	95.76764665450077	40.001767478521884	81.99084552087776	99657281	0.003159901	28434374.0	234633183.0	96.5196565087143	96.43502123490023	0.33528309197740636	243093678.0	10.468493560639928	51.0	71.98198694414423	9.090909090909092	121546839.0						
H1_R1_1																			4.868532421271041	51.0	71.96336024830724	9.090909090909092	121546839.0	5.46779005834415	51.0	76.0	9.090909090909092	125395196.0	5.974373034446861
H1_R1_2																								12.340906448132955	52.0	76.0	0.0	125395196.0	7.3560384264095555
H1_R2	230576537	216486544	0.0001282542537453612	0.185556838418099	0.530604	1.41	97349319.0	91.64265515441465	37.49392159532693	78.25757730504513	81756976	0.002622653	21633253.0	194853291.0	93.25654659472089	93.18252985819827	0.30883835443114793	208943284.0	63.53057854848469	55.0	72.37210650905631	18.181818181818183	104471642.0						
H1_R2_1																			64.55213452546244	54.0	72.51922007696596	18.181818181818183	104471642.0	72.13669164103302	54.0	76.0	18.181818181818183	107101340.0	5.06076546902116
H1_R2_2																								69.7198455326031	55.0	76.0	9.090909090909092	107101340.0	6.395325384547501
K562_R1	197976127	179598865	0.00034421989317527863	1.03510923773271	0.862659	1.1	82159970.0	87.30252904469289	10.752394403593925	71.1267652331377	65108709	0.003023151	14898185.0	164700680.0	89.96205561454258	89.75408954509659	0.1931374124797623	183077942.0	84.55183955586928	51.0	96.6840850767265	10.0	91538971.0						
K562_R1_1																			86.87677814702528	50.0	97.77047316819849	20.0	91538971.0	88.2438585027313	50.0	101.0	10.0	92172367.0	2.626270821707356
K562_R1_2																								86.02608285412761	51.0	101.0	10.0	92172367.0	4.153907377115798
K562_R2	243882114	223566296	0.0004874509701784627	0.882481617863759	0.830782	1.13	102102201.0	88.4865419475631	13.399853504632159	71.59993059627001	80571384	0.002803809	18822164.0	204744132.0	90.97315270886712	90.73333660653529	0.22334982301382367	225059950.0	82.7461013360407	51.0	96.62287227914162	10.0	112529975.0						
K562_R2_1																			85.27745550724593	50.0	97.83720621994273	20.0	112529975.0	86.48554199512046	50.0	101.0	10.0	113327735.0	2.561097765793088
K562_R2_2																								84.31532039414239	51.0	101.0	10.0	113327735.0	4.229691744465861
MCF7_R1	272005900	257673756	0.0006046465976316388	0.0777161654433233	0.374084	1.15	116586790.0	92.72709279101528	50.868017936375644	75.0166451311262	93034329	0.004132224	23969404.0	233704352.0	94.22176001067197	94.00777053389756	0.34167552504047627	248036496.0	50.067507658226546	46.0	70.97720058099837	18.181818181818183	124018248.0						
MCF7_R1_1																			51.713088571759386	45.0	68.27561856864806	27.27272727272727	124018248.0	61.39571743290904	46.0	76.0	27.27272727272727	128178110.0	10.840414991788832
MCF7_R1_2																								58.473058393655194	47.0	76.0	27.27272727272727	128178110.0	8.280938511017373
MCF7_R2	280629986	262482843	0.00039944752162948466	0.141757001251355	0.437004	1.2	119330781.0	91.14710408512626	45.443879970831055	75.04743535724424	96495783	0.002215277	23470544.0	239012299.0	92.94323286018017	92.80684393458904	0.30659928092393357	257159442.0	56.92824350100849	47.0	71.71345906093543	18.181818181818183	128579721.0						
MCF7_R2_1																			60.02043782703601	47.0	71.4753039944767	27.27272727272727	128579721.0	68.23987991746675	47.0	76.0	18.181818181818183	131814222.0	6.245239447283377
MCF7_R2_2																								65.57984037399618	48.0	76.0	18.181818181818183	131814222.0	6.994965711347101
