Module	Section	Sample Name	Source
Picard	DuplicationMetrics	H1_R2	/tmp/nxf.ESsqeqazfX/picard/markduplicates/H1_R2.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	GM12878_R2	/tmp/nxf.ESsqeqazfX/picard/markduplicates/GM12878_R2.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	K562_R1	/tmp/nxf.ESsqeqazfX/picard/markduplicates/K562_R1.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	GM12878_R1	/tmp/nxf.ESsqeqazfX/picard/markduplicates/GM12878_R1.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	MCF7_R1	/tmp/nxf.ESsqeqazfX/picard/markduplicates/MCF7_R1.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	MCF7_R2	/tmp/nxf.ESsqeqazfX/picard/markduplicates/MCF7_R2.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	K562_R2	/tmp/nxf.ESsqeqazfX/picard/markduplicates/K562_R2.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	H1_R1	/tmp/nxf.ESsqeqazfX/picard/markduplicates/H1_R1.markdup.sorted.MarkDuplicates.metrics.txt
Preseq	all_sections	GM12878_R1	/tmp/nxf.ESsqeqazfX/preseq/GM12878_R1.ccurve.txt
Preseq	all_sections	GM12878_R2	/tmp/nxf.ESsqeqazfX/preseq/GM12878_R2.ccurve.txt
Preseq	all_sections	K562_R1	/tmp/nxf.ESsqeqazfX/preseq/K562_R1.ccurve.txt
Preseq	all_sections	K562_R2	/tmp/nxf.ESsqeqazfX/preseq/K562_R2.ccurve.txt
Preseq	all_sections	MCF7_R2	/tmp/nxf.ESsqeqazfX/preseq/MCF7_R2.ccurve.txt
Preseq	all_sections	MCF7_R1	/tmp/nxf.ESsqeqazfX/preseq/MCF7_R1.ccurve.txt
Preseq	all_sections	H1_R2	/tmp/nxf.ESsqeqazfX/preseq/H1_R2.ccurve.txt
Preseq	all_sections	H1_R1	/tmp/nxf.ESsqeqazfX/preseq/H1_R1.ccurve.txt
QualiMap	rna_genome_results	K562_R1	/tmp/nxf.ESsqeqazfX/qualimap/K562_R1/rnaseq_qc_results.txt
QualiMap	rna_genome_results	K562_R2	/tmp/nxf.ESsqeqazfX/qualimap/K562_R2/rnaseq_qc_results.txt
QualiMap	rna_genome_results	MCF7_R2	/tmp/nxf.ESsqeqazfX/qualimap/MCF7_R2/rnaseq_qc_results.txt
QualiMap	rna_genome_results	MCF7_R1	/tmp/nxf.ESsqeqazfX/qualimap/MCF7_R1/rnaseq_qc_results.txt
QualiMap	rna_genome_results	GM12878_R1	/tmp/nxf.ESsqeqazfX/qualimap/GM12878_R1/rnaseq_qc_results.txt
QualiMap	rna_genome_results	GM12878_R2	/tmp/nxf.ESsqeqazfX/qualimap/GM12878_R2/rnaseq_qc_results.txt
QualiMap	rna_genome_results	H1_R2	/tmp/nxf.ESsqeqazfX/qualimap/H1_R2/rnaseq_qc_results.txt
QualiMap	rna_genome_results	H1_R1	/tmp/nxf.ESsqeqazfX/qualimap/H1_R1/rnaseq_qc_results.txt
QualiMap	rna_coverage_histogram	K562_R1	/tmp/nxf.ESsqeqazfX/qualimap/K562_R1/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	K562_R2	/tmp/nxf.ESsqeqazfX/qualimap/K562_R2/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	MCF7_R2	/tmp/nxf.ESsqeqazfX/qualimap/MCF7_R2/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	MCF7_R1	/tmp/nxf.ESsqeqazfX/qualimap/MCF7_R1/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	GM12878_R1	/tmp/nxf.ESsqeqazfX/qualimap/GM12878_R1/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	GM12878_R2	/tmp/nxf.ESsqeqazfX/qualimap/GM12878_R2/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	H1_R2	/tmp/nxf.ESsqeqazfX/qualimap/H1_R2/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	H1_R1	/tmp/nxf.ESsqeqazfX/qualimap/H1_R1/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
Rsem	all_sections	GM12878_R1	/tmp/nxf.ESsqeqazfX/rsem/GM12878_R1.stat/GM12878_R1.cnt
Rsem	all_sections	H1_R2	/tmp/nxf.ESsqeqazfX/rsem/H1_R2.stat/H1_R2.cnt
Rsem	all_sections	H1_R1	/tmp/nxf.ESsqeqazfX/rsem/H1_R1.stat/H1_R1.cnt
Rsem	all_sections	K562_R1	/tmp/nxf.ESsqeqazfX/rsem/K562_R1.stat/K562_R1.cnt
Rsem	all_sections	MCF7_R1	/tmp/nxf.ESsqeqazfX/rsem/MCF7_R1.stat/MCF7_R1.cnt
Rsem	all_sections	GM12878_R2	/tmp/nxf.ESsqeqazfX/rsem/GM12878_R2.stat/GM12878_R2.cnt
Rsem	all_sections	K562_R2	/tmp/nxf.ESsqeqazfX/rsem/K562_R2.stat/K562_R2.cnt
Rsem	all_sections	MCF7_R2	/tmp/nxf.ESsqeqazfX/rsem/MCF7_R2.stat/MCF7_R2.cnt
RSeQC	read_distribution	K562_R2	/tmp/nxf.ESsqeqazfX/rseqc/read_distribution/K562_R2.read_distribution.txt
RSeQC	read_distribution	H1_R2	/tmp/nxf.ESsqeqazfX/rseqc/read_distribution/H1_R2.read_distribution.txt
RSeQC	read_distribution	GM12878_R2	/tmp/nxf.ESsqeqazfX/rseqc/read_distribution/GM12878_R2.read_distribution.txt
RSeQC	read_distribution	GM12878_R1	/tmp/nxf.ESsqeqazfX/rseqc/read_distribution/GM12878_R1.read_distribution.txt
RSeQC	read_distribution	K562_R1	/tmp/nxf.ESsqeqazfX/rseqc/read_distribution/K562_R1.read_distribution.txt
RSeQC	read_distribution	MCF7_R1	/tmp/nxf.ESsqeqazfX/rseqc/read_distribution/MCF7_R1.read_distribution.txt
RSeQC	read_distribution	H1_R1	/tmp/nxf.ESsqeqazfX/rseqc/read_distribution/H1_R1.read_distribution.txt
RSeQC	read_distribution	MCF7_R2	/tmp/nxf.ESsqeqazfX/rseqc/read_distribution/MCF7_R2.read_distribution.txt
RSeQC	inner_distance	H1_R2	/tmp/nxf.ESsqeqazfX/rseqc/inner_distance/H1_R2.inner_distance_freq.txt
RSeQC	inner_distance	MCF7_R2	/tmp/nxf.ESsqeqazfX/rseqc/inner_distance/MCF7_R2.inner_distance_freq.txt
RSeQC	inner_distance	K562_R2	/tmp/nxf.ESsqeqazfX/rseqc/inner_distance/K562_R2.inner_distance_freq.txt
RSeQC	inner_distance	MCF7_R1	/tmp/nxf.ESsqeqazfX/rseqc/inner_distance/MCF7_R1.inner_distance_freq.txt
RSeQC	inner_distance	GM12878_R2	/tmp/nxf.ESsqeqazfX/rseqc/inner_distance/GM12878_R2.inner_distance_freq.txt
RSeQC	inner_distance	H1_R1	/tmp/nxf.ESsqeqazfX/rseqc/inner_distance/H1_R1.inner_distance_freq.txt
RSeQC	inner_distance	GM12878_R1	/tmp/nxf.ESsqeqazfX/rseqc/inner_distance/GM12878_R1.inner_distance_freq.txt
RSeQC	inner_distance	K562_R1	/tmp/nxf.ESsqeqazfX/rseqc/inner_distance/K562_R1.inner_distance_freq.txt
RSeQC	read_duplication	K562_R2	/tmp/nxf.ESsqeqazfX/rseqc/read_duplication/K562_R2.pos.DupRate.xls
RSeQC	read_duplication	GM12878_R1	/tmp/nxf.ESsqeqazfX/rseqc/read_duplication/GM12878_R1.pos.DupRate.xls
RSeQC	read_duplication	GM12878_R2	/tmp/nxf.ESsqeqazfX/rseqc/read_duplication/GM12878_R2.pos.DupRate.xls
RSeQC	read_duplication	H1_R2	/tmp/nxf.ESsqeqazfX/rseqc/read_duplication/H1_R2.pos.DupRate.xls
RSeQC	read_duplication	MCF7_R1	/tmp/nxf.ESsqeqazfX/rseqc/read_duplication/MCF7_R1.pos.DupRate.xls
RSeQC	read_duplication	MCF7_R2	/tmp/nxf.ESsqeqazfX/rseqc/read_duplication/MCF7_R2.pos.DupRate.xls
RSeQC	read_duplication	K562_R1	/tmp/nxf.ESsqeqazfX/rseqc/read_duplication/K562_R1.pos.DupRate.xls
RSeQC	read_duplication	H1_R1	/tmp/nxf.ESsqeqazfX/rseqc/read_duplication/H1_R1.pos.DupRate.xls
RSeQC	junction_annotation	GM12878_R2	/tmp/nxf.ESsqeqazfX/rseqc/junction_annotation/GM12878_R2.junction_annotation.log
